Файл	Итерации	Время	Размер массива
data_input_1.txt	645690	5683300	1370
data_input_10.txt	15314231	27471300	6907
data_input_100.txt	5716611	9470800	4190
data_input_11.txt	19542894	25574000	7809
data_input_12.txt	20501980	27362000	8004
data_input_13.txt	218080	397700	784
data_input_14.txt	7174557	9521700	4701
data_input_15.txt	10365867	14441300	5662
data_input_16.txt	16027975	29234000	7049
data_input_17.txt	27982459	42566600	9368
data_input_18.txt	22987949	31294700	8487
data_input_19.txt	949648	1284400	1675
data_input_2.txt	28513487	35127300	9460
data_input_20.txt	1309069	1896500	1965
data_input_21.txt	1250928	1707900	1924
data_input_22.txt	21271318	28101000	8151
data_input_23.txt	118335	174000	577
data_input_24.txt	10818421	14651100	5798
data_input_25.txt	16001597	23414400	7057
data_input_26.txt	19980905	25455400	7901
data_input_27.txt	29157315	35934200	9558
data_input_28.txt	20818194	25863300	8062
data_input_29.txt	4032150	4919800	3506
data_input_3.txt	31561533	43212600	9956
data_input_30.txt	7684982	9982100	4863
data_input_31.txt	53630	108300	382
data_input_32.txt	29407530	39898600	9601
data_input_33.txt	15452934	19246100	6947
data_input_34.txt	17914593	22786100	7477
data_input_35.txt	14480646	19314500	6721
data_input_36.txt	10552819	12865500	5720
data_input_37.txt	16409149	19936700	7160
data_input_38.txt	7744971	10566800	4888
data_input_39.txt	24732806	33444800	8802
data_input_4.txt	3590994	4648000	3299
data_input_40.txt	8907902	12062800	5253
data_input_41.txt	5582506	6764000	4138
data_input_42.txt	6042149	7993100	4310
data_input_43.txt	6405115	7754100	4429
data_input_44.txt	14695114	17719900	6768
data_input_45.txt	57036	90500	393
data_input_46.txt	5587708	7327300	4141
data_input_47.txt	28444934	36347300	9438
data_input_48.txt	23736900	29030200	8612
data_input_49.txt	16620605	26058300	7195
data_input_5.txt	23064247	28530600	8506
data_input_50.txt	14272849	17140500	6666
data_input_51.txt	20528656	25304400	8000
data_input_52.txt	3472413	4240000	3248
data_input_53.txt	5177204	6627900	3986
data_input_54.txt	7497007	9058600	4805
data_input_55.txt	7584762	9745600	4836
data_input_56.txt	3108794	3810700	3070
data_input_57.txt	12232685	15260700	6162
data_input_58.txt	8706707	10907000	5184
data_input_59.txt	102819	163900	540
data_input_6.txt	25623889	30663500	8964
data_input_60.txt	27753283	36724200	9330
data_input_61.txt	12943896	15558600	6343
data_input_62.txt	211854	329200	770
data_input_63.txt	15011283	18183400	6839
data_input_64.txt	2041332	2765900	2480
data_input_65.txt	3800613	4647300	3408
data_input_66.txt	5560609	6776700	4125
data_input_67.txt	1615023	2009100	2191
data_input_68.txt	12396959	15619200	6194
data_input_69.txt	22928242	27926700	8486
data_input_7.txt	4985875	6054700	3910
data_input_70.txt	7714638	9500200	4877
data_input_71.txt	28928765	35761500	9530
data_input_72.txt	25925305	31039900	9018
data_input_73.txt	10034704	12073700	5564
data_input_74.txt	2148776	2895600	2542
data_input_75.txt	30295096	36630800	9744
data_input_76.txt	16086318	19751000	7085
data_input_77.txt	31210711	38388200	9883
data_input_78.txt	26413434	32725900	9099
data_input_79.txt	21580045	26526600	8201
data_input_8.txt	21943610	27264600	8287
data_input_80.txt	8842616	10666800	5231
data_input_81.txt	11518629	13845100	5978
data_input_82.txt	11137404	13387600	5873
data_input_83.txt	31756080	38702600	9994
data_input_84.txt	15059529	18087700	6841
data_input_85.txt	9427412	11377200	5399
data_input_86.txt	25177801	30498000	8873
data_input_87.txt	886552	1197400	1610
data_input_88.txt	3404128	5554700	3210
data_input_89.txt	28128015	33846100	9381
data_input_9.txt	4191930	5132700	3577
data_input_90.txt	1906395	2504200	2387
data_input_91.txt	9129815	11383500	5310
data_input_92.txt	22344052	27058000	8366
data_input_93.txt	14352984	17489900	6688
data_input_94.txt	17925949	21941600	7472
data_input_95.txt	12822636	15927300	6316
data_input_96.txt	20493578	25913500	8005
data_input_97.txt	6463275	7825900	4466
data_input_98.txt	300864
